,total_time,fire_size
621,2 days 06:20:00,1050.0
622,19 days 19:21:00,2339.0
623,57 days 00:08:00,2203.0
624,140 days 16:00:00,1950.0
625,66 days 16:00:00,5280.0
626,17 days 10:30:00,1252.0
627,47 days 18:51:00,4170.0
628,61 days 18:48:00,7718.0
629,11 days 21:00:00,2769.0
630,62 days 05:46:00,13790.0
631,41 days 16:25:00,3689.0
632,50 days 05:43:00,10721.0
633,25 days 04:30:00,1200.0
634,45 days 21:46:00,4132.0
635,41 days 06:07:00,5740.0
636,33 days 18:46:00,1320.0
637,47 days 10:00:00,2514.0
638,6 days 10:00:00,1400.0
639,27 days 02:41:00,160371.0
640,62 days 21:32:00,5065.0
641,113 days 03:10:00,7055.0
642,116 days 21:02:00,22000.0
643,91 days 17:59:00,6322.0
644,65 days 18:55:00,8395.0
645,57 days 09:38:00,3545.0
646,50 days 20:42:00,4000.0
647,73 days 22:30:00,1534.0
648,10 days 03:30:00,5791.0
649,4 days 00:50:00,2409.0
650,43 days 18:07:00,2940.0
651,64 days 00:33:00,3084.0
652,91 days 02:35:00,2600.0
653,24 days 02:58:00,1295.0
654,49 days 22:49:00,2599.0
655,6 days 02:15:00,4000.0
656,111 days 03:00:00,2475.0
657,21 days 10:00:00,7379.0
658,11 days 04:40:00,6080.0
659,76 days 22:05:00,13925.0
660,75 days 01:15:00,23654.0
661,1 days 05:33:00,2443.0
662,0 days 05:30:00,1477.0
663,4 days 01:59:00,1275.0
664,2 days 04:30:00,1581.0
665,86 days 19:30:00,3150.0
666,87 days 04:00:00,29000.0
667,67 days 00:00:00,6000.0
668,65 days 22:00:00,4000.0
669,22 days 02:00:00,177544.0
670,9 days 17:30:00,12860.0
671,1 days 20:00:00,4130.0
672,10 days 02:00:00,8310.0
673,6 days 17:15:00,2910.0
674,2 days 23:36:00,2895.0
675,8 days 23:59:00,38200.0
676,0 days 21:09:00,3600.0
677,3 days 01:09:00,2400.0
678,3 days 03:59:00,7180.0
679,5 days 21:35:00,17500.0
680,18 days 09:59:00,6500.0
681,11 days 00:30:00,2590.0
682,12 days 22:25:00,2365.0
683,69 days 05:00:00,1744.0
684,33 days 01:00:00,2110.0
685,11 days 16:35:00,3340.0
686,9 days 05:20:00,1400.0
687,5 days 09:00:00,9500.0
688,6 days 04:00:00,1781.0
689,1 days 03:55:00,1337.0
690,2 days 00:55:00,1095.0
691,3 days 03:51:00,1550.0
692,13 days 05:20:00,24580.0
693,27 days 02:30:00,8800.0
694,1 days 22:40:00,2000.0
695,3 days 02:59:00,2559.0
696,4 days 23:44:00,2480.0
697,2 days 22:59:00,1385.0
698,3 days 04:15:00,1453.0
699,0 days 03:40:00,1596.0
700,4 days 06:18:00,1150.0
701,1 days 15:30:00,1200.0
702,0 days 05:41:00,1195.0
703,8 days 01:30:00,5050.0
704,10 days 05:10:00,64000.0
705,1 days 08:38:00,1422.0
706,2 days 11:58:00,3460.0
707,9 days 00:55:00,18000.0
708,2 days 20:18:00,1580.0
709,3 days 15:51:00,1095.0
